pr2,pr3,State,FIPSCode
1.0077220077220077,0.007662835249042145,CT,900757320
1.0190114068441065,0.018656716417910446,CT,900761800
1.0065573770491802,0.006514657980456026,CT,900781680
1.005730659025788,0.005698005698005698,CT,900901220
1.0050761421319796,0.005050505050505051,CT,900903250
1.003921568627451,0.00390625,CT,900904580
1.0127915726109857,0.01263001485884101,CT,900907310
1.0551724137931036,0.05228758169934641,CT,900914160
1.0066666666666666,0.006622516556291391,CT,900919550
1.0231143552311435,0.022592152199762187,CT,900922910
1.011797362942401,0.011659807956104253,CT,900934950
1.0194871794871796,0.019114688128772636,CT,900935650
1.0137981118373276,0.013610315186246419,CT,900944560
1.0074794315632012,0.007423904974016332,CT,900946520
1.0194647201946472,0.01909307875894988,CT,900946940
1.0220913107511045,0.021613832853025938,CT,900947535
1.0151975683890577,0.014970059880239521,CT,900949950
1.0326218284333468,0.03159126365054602,CT,900952070
1.015267175572519,0.015037593984962405,CT,900953890
1,0,CT,900954870
1.0081967213114753,0.008130081300813009,CT,900957600
1,0,CT,900958300
1.0233236151603498,0.022792022792022793,CT,900962290
1.0042372881355932,0.004219409282700422,CT,900967610
1.0265273311897105,0.025841816758026624,CT,900969640
1.1113886113886113,0.1002247191011236,CT,900978740
1.0182196772514316,0.01789366053169734,CT,900980070
1.0522648083623694,0.04966887417218543,CT,900982870
1.02,0.0196078431372549,CT,900987560
1.0055710306406684,0.00554016620498615,CT,900987700
1.013157894736842,0.012987012987012988,CT,901106820
1.005952380952381,0.005917159763313609,CT,901115910
1.0233426704014938,0.02281021897810219,CT,901123400
1,0,CT,901129910
1.010928961748634,0.010810810810810811,CT,901133900
1.0153417015341701,0.01510989010989011,CT,901134250
