FIPSCode,jurisdiction,households,median_household_income
12051,"Hendry County, Florida",12027,40728
12053,"Hernando County, Florida",73541,46030
12055,"Highlands County, Florida",41026,37314
12057,"Hillsborough County, Florida",516478,56137
12059,"Holmes County, Florida",7016,38608
12061,"Indian River County, Florida",57403,52336
12063,"Jackson County, Florida",16894,39002
12065,"Jefferson County, Florida",5771,48173
12067,"Lafayette County, Florida",2095,39543
12069,"Lake County, Florida",130190,51884
12071,"Lee County, Florida",271861,54691
12073,"Leon County, Florida",112918,51201
12075,"Levy County, Florida",16433,37634
12077,"Liberty County, Florida",2381,37363
12079,"Madison County, Florida",6682,35509
12081,"Manatee County, Florida",143652,56036
12083,"Marion County, Florida",136514,43361
12085,"Martin County, Florida",63865,57959
12086,"Miami-Dade County, Florida",870051,48982
12087,"Monroe County, Florida",30982,67023
12089,"Nassau County, Florida",31241,66297
12091,"Okaloosa County, Florida",77403,62048
12093,"Okeechobee County, Florida",13759,40367
12095,"Orange County, Florida",458613,54335
12097,"Osceola County, Florida",99158,50063
12099,"Palm Beach County, Florida",548216,59943
12101,"Pasco County, Florida",199227,50417
12103,"Pinellas County, Florida",407720,51454
12105,"Polk County, Florida",231260,48500
12107,"Putnam County, Florida",28264,35649
12109,"St. Johns County, Florida",86268,77323
12111,"St. Lucie County, Florida",112872,49373
12113,"Santa Rosa County, Florida",61345,66242
12115,"Sarasota County, Florida",180551,58644
12117,"Seminole County, Florida",167304,63760
12119,"Sumter County, Florida",54636,55228
12121,"Suwannee County, Florida",15083,42686
12123,"Taylor County, Florida",7356,36934
12125,"Union County, Florida",3892,41770
12127,"Volusia County, Florida",212985,46760
12129,"Wakulla County, Florida",11068,62778
12131,"Walton County, Florida",26432,53785
12133,"Washington County, Florida",8484,37188
13001,"Appling County, Georgia",6682,39561
13003,"Atkinson County, Georgia",2785,34877
13005,"Bacon County, Georgia",3966,36964
13007,"Baker County, Georgia",1385,37188
13009,"Baldwin County, Georgia",16122,39426
13011,"Banks County, Georgia",6603,45373
13013,"Barrow County, Georgia",25319,57348
13015,"Bartow County, Georgia",37351,55452
13017,"Ben Hill County, Georgia",6569,32705
13019,"Berrien County, Georgia",7322,37163
13021,"Bibb County, Georgia",58010,39931
13023,"Bleckley County, Georgia",4168,45029
13025,"Brantley County, Georgia",6564,37031
13027,"Brooks County, Georgia",6350,34322
13029,"Bryan County, Georgia",12636,71322
13031,"Bulloch County, Georgia",26955,41789
13033,"Burke County, Georgia",8184,42773
13035,"Butts County, Georgia",8157,41845
13037,"Calhoun County, Georgia",1853,31725
13039,"Camden County, Georgia",19327,56397
13043,"Candler County, Georgia",3965,32937
13045,"Carroll County, Georgia",41150,49608
13047,"Catoosa County, Georgia",24636,55125
13049,"Charlton County, Georgia",3559,40283
13051,"Chatham County, Georgia",108151,54911
13053,"Chattahoochee County, Georgia",2550,46453
13055,"Chattooga County, Georgia",9098,36107
13057,"Cherokee County, Georgia",85825,79670
13059,"Clarke County, Georgia",47224,36889
13061,"Clay County, Georgia",1202,25000
13063,"Clayton County, Georgia",92845,45778
13065,"Clinch County, Georgia",2502,25236
13067,"Cobb County, Georgia",277222,75153
13069,"Coffee County, Georgia",14298,38266
13071,"Colquitt County, Georgia",15374,35472
13073,"Columbia County, Georgia",46840,76938
13075,"Cook County, Georgia",6233,38408
13077,"Coweta County, Georgia",51308,70717
13079,"Crawford County, Georgia",4637,43257
13081,"Crisp County, Georgia",8329,35096
13083,"Dade County, Georgia",6070,44471
13085,"Dawson County, Georgia",8711,65805
13087,"Decatur County, Georgia",10153,39148
13089,"DeKalb County, Georgia",277757,59280
13091,"Dodge County, Georgia",7694,35757
13093,"Dooly County, Georgia",4861,35629
13095,"Dougherty County, Georgia",34780,37633
13097,"Douglas County, Georgia",48968,62147
13099,"Early County, Georgia",4082,31567
13101,"Echols County, Georgia",1559,34447
13103,"Effingham County, Georgia",20489,65153
13105,"Elbert County, Georgia",7491,37943
13107,"Emanuel County, Georgia",8392,34946
13109,"Evans County, Georgia",4006,39701
13111,"Fannin County, Georgia",10461,45647
