pr2,pr3,State,FIPSCode,population
0.9325842696629213,0.013855421686746987,VA,51199,48534
0.9705728894918084,0.0011826685302655628,VA,51510,100824
0.9433249370277078,0.0026702269692923898,VA,51520,13502
0.9578059071729957,0,VA,51530,5198
0.9430516867842773,0.020676074827699377,VA,51540,34856
0.9465299993471307,0.006138777762449993,VA,51550,172030
0.9691558441558441,0.0041876046901172526,VA,51570,13256
0.9726775956284153,0,VA,51580,4464
0.9679046309032554,0.011842728564661297,VA,51590,32383
0.9020979020979021,0,VA,51595,4013
0.9577464788732394,0.008169934640522876,VA,51600,15751
0.977669508729192,0,VA,51610,9595
0.9545454545454546,0.01680672268907563,VA,51620,6270
0.9450625869262865,0.008094186902133923,VA,51630,20995
0.9587628865979382,0.025089605734767026,VA,51640,4826
0.9565914056809905,0,VA,51650,104855
0.9544807965860598,0,VA,51660,38750
0.9123649459783914,0,VA,51670,15991
0.9137529137529138,0,VA,51678,6333
0.8950709484690067,0,VA,51680,60841
0.9583050847457627,0,VA,51683,23390
0.9455488331892826,0.005484460694698354,VA,51685,8460
0.9615384615384616,0,VA,51690,10267
0.9064882263255971,0.013455428891795925,VA,51700,133203
0.9079303094022229,0.015384615384615385,VA,51710,188108
0.9550561797752809,0,VA,51720,3091
0.9574028122415219,0,VA,51730,24816
0.947187141216992,0.0036363636363636364,VA,51735,9248
0.9547585560243788,0.012275963663147557,VA,51740,72182
0.935361216730038,0,VA,51750,15021
0.7897979300147856,0,VA,51760,168393
0.9401297885702323,0,VA,51770,72729
0.9471830985915493,0.015613382899628252,VA,51775,19976
0.9375,0,VA,51790,19359
0.9626584446728331,0,VA,51800,64147
0.9488787725510032,0.023810369949180853,VA,51810,332917
0.9308005427408412,0,VA,51820,15767
0.9527896995708155,0,VA,51830,12397
0.9437956204379562,0.0069605568445475635,VA,51840,18916
0.7368183866606579,0.015902140672782873,WA,53001,8947
0.7209582535969948,0.004915454187966968,WA,53003,17386
0.7750440011733646,0.0073449401523395,WA,53005,127131
0.7968073962745366,0.008459318110371239,WA,53007,51849
0.8159331898269951,0.00938026723990522,WA,53009,58509
0.7586539461277289,0.010859959452370713,WA,53011,317386
0.832295862321494,0.0026396832380114386,WA,53013,3120
0.7452144698804594,0.004172782553994548,WA,53015,76779
0.7639780884019645,0.004759550006181234,WA,53017,25483
0.7982942430703625,0.0010683760683760685,WA,53019,6128
0.7300217864923747,0.010186622100194978,WA,53021,44920
0.8377676833225178,7.74593338497289e-4,WA,53023,1670
0.757688202104407,0.00966053938011539,WA,53025,51246
