"","State","FIPSCode","is_na_population_F1a","is_na_transmitted_C1a","is_na_submitted_C1b","is_na_rejected_C4b"
"367","VT",5002350275,0,0,1,1
"368","VT",5002355825,0,0,1,1
"369","VT",5002360625,0,0,1,1
"370","VT",5002375325,0,0,1,1
"371","VT",5002376525,0,0,1,1
"372","VT",5002376975,0,0,1,1
"373","VT",5002385525,0,0,1,1
"374","VT",5002386125,0,0,1,1
"375","VT",5002501900,0,0,1,1
"376","VT",5002507900,0,0,1,1
"377","VT",5002509475,0,0,1,1
"378","VT",5002517875,0,0,1,1
"379","VT",5002518325,0,0,1,1
"380","VT",5002528900,0,0,1,1
"381","VT",5002530925,0,0,1,1
"382","VT",5002531150,0,0,1,1
"383","VT",5002536175,0,0,1,1
"384","VT",5002540225,0,0,1,1
"385","VT",5002543375,0,0,1,1
"386","VT",5002548400,0,0,1,1
"387","VT",5002557700,0,0,1,1
"388","VT",5002560250,0,0,1,1
"389","VT",5002570750,0,0,1,1
"390","VT",5002573300,0,0,1,1
"391","VT",5002574800,0,0,1,1
"392","VT",5002576225,0,0,1,1
"393","VT",5002581400,0,0,1,1
"394","VT",5002583950,0,0,1,1
"395","VT",5002584700,0,0,1,1
"396","VT",5002584850,0,0,1,1
"397","VT",5002701300,0,0,1,1
"398","VT",5002702575,0,0,1,1
"399","VT",5002702725,0,0,1,1
"400","VT",5002705800,0,0,1,1
"401","VT",5002708275,0,0,1,1
"402","VT",5002712250,0,0,1,1
"403","VT",5002713675,0,0,1,1
"404","VT",5002732275,0,0,1,1
"405","VT",5002732425,0,0,1,1
"406","VT",5002741275,0,0,1,1
"407","VT",5002752900,0,0,1,1
"408","VT",5002756050,0,0,1,1
"409","VT",5002756350,0,0,1,1
"410","VT",5002758375,0,0,1,1
"411","VT",5002760100,0,0,1,1
"412","VT",5002760850,0,0,1,1
"413","VT",5002763775,0,0,1,1
"414","VT",5002769550,0,0,1,1
"415","VT",5002770375,0,0,1,1
"416","VT",5002777500,0,0,1,1
"417","VT",5002782000,0,0,1,1
"418","VT",5002783050,0,0,1,1
"419","VT",5002784925,0,0,1,1
"420","VT",5002785975,0,0,1,1
