zipcode,city,zip_median_income
28369,"Orrum, North Carolina",32610
28540,"Jacksonville, North Carolina",32602
27979,"Sunbury, North Carolina",32596
28423,"Bolton, North Carolina",32594
27229,"Candor, North Carolina",32534
27970,"Roper, North Carolina",32522
28572,"Pink Hill, North Carolina",32500
27830,"Fremont, North Carolina",32500
27817,"Chocowinity, North Carolina",32483
28578,"Seven Springs, North Carolina",32440
27864,"Pinetops, North Carolina",32413
27024,"Lowgap, North Carolina",32404
28455,"Nakina, North Carolina",32400
27542,"Kenly, North Carolina",32386
28114,"Mooresboro, North Carolina",32318
27828,"Farmville, North Carolina",32306
28457,"Rocky Point, North Carolina",32297
28040,"Ellenboro, North Carolina",32292
28761,"Nebo, North Carolina",32289
28746,"Lake Lure, North Carolina",32269
28202,"Charlotte, North Carolina",32230
27017,"Dobson, North Carolina",32215
28513,"Ayden, North Carolina",32192
28144,"Salisbury, North Carolina",32188
28436,"Delco, North Carolina",32188
28560,"New Bern, North Carolina",32181
28752,"Marion, North Carolina",32162
27928,"Creswell, North Carolina",32148
27325,"Robbins, North Carolina",32139
28150,"Shelby, North Carolina",32139
27306,"Mount Gilead, North Carolina",32121
28779,"Sylva, North Carolina",32046
27947,"Jarvisburg, North Carolina",32031
28725,"Dillsboro, North Carolina",32000
28521,"Chinquapin, North Carolina",31987
27046,"Sandy Ridge, North Carolina",31982
27252,"Goldston, North Carolina",31971
28553,"Marshallberg, North Carolina",31944
28349,"Kenansville, North Carolina",31825
27405,"Greensboro, North Carolina",31791
28339,"Erwin, North Carolina",31765
27379,"Yanceyville, North Carolina",31703
27860,"Pantego, North Carolina",31688
27030,"Mount Airy, North Carolina",31649
28334,"Dunn, North Carolina",31647
28333,"Dudley, North Carolina",31647
28135,"Polkton, North Carolina",31641
27551,"Macon, North Carolina",31629
28528,"Gloucester, North Carolina",31613
28344,"Godwin, North Carolina",31613
27883,"Stantonsburg, North Carolina",31575
27530,"Goldsboro, North Carolina",31535
28670,"Ronda, North Carolina",31528
28574,"Richlands, North Carolina",31523
27521,"Coats, North Carolina",31517
28659,"North Wilkesboro, North Carolina",31465
27873,"Saratoga, North Carolina",31458
28462,"Supply, North Carolina",31442
28167,"Union Mills, North Carolina",31425
28052,"Gastonia, North Carolina",31421
28518,"Beulaville, North Carolina",31319
27889,"Washington, North Carolina",31293
28352,"Laurinburg, North Carolina",31293
28657,"Newland, North Carolina",31288
28525,"Deep Run, North Carolina",31284
28350,"Lakeview, North Carolina",31250
27510,"Carrboro, North Carolina",31220
28555,"Maysville, North Carolina",31164
28734,"Franklin, North Carolina",31145
27014,"Cooleemee, North Carolina",31136
28684,"Todd, North Carolina",31125
28342,"Falcon, North Carolina",31125
27939,"Grandy, North Carolina",31100
28365,"Mount Olive, North Carolina",31100
27932,"Edenton, North Carolina",31045
28403,"Wilmington, North Carolina",31044
28382,"Roseboro, North Carolina",31044
28328,"Clinton, North Carolina",31017
28904,"Hayesville, North Carolina",30985
28617,"Crumpler, North Carolina",30929
28756,"Mill Spring, North Carolina",30922
28395,"Wade, North Carolina",30911
27813,"Black Creek, North Carolina",30893
28669,"Roaring River, North Carolina",30888
28607,"Boone, North Carolina",30876
28456,"Riegelwood, North Carolina",30873
27946,"Hobbsville, North Carolina",30865
28441,"Garland, North Carolina",30852
27885,"Swanquarter, North Carolina",30833
27818,"Como, North Carolina",30750
28580,"Snow Hill, North Carolina",30732
28425,"Burgaw, North Carolina",30722
28330,"Cordova, North Carolina",30658
28586,"Vanceboro, North Carolina",30572
28523,"Cove City, North Carolina",30461
27909,"Elizabeth City, North Carolina",30444
27809,"Battleboro, North Carolina",30423
27892,"Williamston, North Carolina",30409
28723,"Cullowhee, North Carolina",30383
28635,"Hays, North Carolina",30381
27105,"Winston Salem, North Carolina",30356
28307,"Fort Bragg, North Carolina",30343
28753,"Marshall, North Carolina",30310
27356,"Star, North Carolina",30272
28454,"Maple Hill, North Carolina",30222
28698,"Zionville, North Carolina",30147
28399,"White Oak, North Carolina",30107
27536,"Henderson, North Carolina",30101
27288,"Eden, North Carolina",30094
28519,"Bridgeton, North Carolina",30000
28640,"Jefferson, North Carolina",29884
28642,"Jonesville, North Carolina",29874
27242,"Eagle Springs, North Carolina",29839
27816,"Castalia, North Carolina",29764
28077,"High Shoals, North Carolina",29732
28360,"Lumberton, North Carolina",29727
28627,"Glade Valley, North Carolina",29679
28585,"Trenton, North Carolina",29655
28755,"Micaville, North Carolina",29583
28332,"Dublin, North Carolina",29545
28554,"Maury, North Carolina",29531
28345,"Hamlet, North Carolina",29531
27878,"Sharpsburg, North Carolina",29514
27866,"Pleasant Hill, North Carolina",29500
27944,"Hertford, North Carolina",29475
27834,"Greenville, North Carolina",29457
28619,"Drexel, North Carolina",29375
27957,"Merry Hill, North Carolina",29342
28714,"Burnsville, North Carolina",29304
28358,"Lumberton, North Carolina",29275
28432,"Clarendon, North Carolina",29213
28018,"Bostic, North Carolina",29198
27305,"Milton, North Carolina",29196
28726,"East Flat Rock, North Carolina",29157
28611,"Collettsville, North Carolina",29125
28043,"Forest City, North Carolina",29122
27820,"Conway, North Carolina",29012
27202,"Altamahaw, North Carolina",29000
28624,"Ferguson, North Carolina",28967
28719,"Cherokee, North Carolina",28875
28434,"Council, North Carolina",28819
27870,"Roanoke Rapids, North Carolina",28784
28679,"Sugar Grove, North Carolina",28750
27812,"Bethel, North Carolina",28750
28713,"Bryson City, North Carolina",28741
28623,"Ennice, North Carolina",28669
28170,"Wadesboro, North Carolina",28655
28631,"Grassy Creek, North Carolina",28654
28508,"Albertson, North Carolina",28617
28390,"Spring Lake, North Carolina",28616
28379,"Rockingham, North Carolina",28603
28341,"Faison, North Carolina",28561
28905,"Marble, North Carolina",28553
28372,"Pembroke, North Carolina",28515
28398,"Warsaw, North Carolina",28458
28709,"Barnardsville, North Carolina",28438
28383,"Rowland, North Carolina",28430
28386,"Shannon, North Carolina",28378
28343,"Gibson, North Carolina",28352
28438,"Evergreen, North Carolina",28300
28091,"Lilesville, North Carolina",28293
28705,"Bakersville, North Carolina",28269
28906,"Murphy, North Carolina",28211
28693,"Warrensville, North Carolina",28125
27980,"Tyner, North Carolina",28125
28758,"Mountain Home, North Carolina",28125
28675,"Sparta, North Carolina",28119
27027,"Mayodan, North Carolina",28082
28694,"West Jefferson, North Carolina",28072
27801,"Rocky Mount, North Carolina",28068
28644,"Laurel Springs, North Carolina",28036
27826,"Fairfield, North Carolina",28015
27855,"Murfreesboro, North Carolina",28010
28740,"Green Mountain, North Carolina",27925
28351,"Laurel Hill, North Carolina",27885
28772,"Rosman, North Carolina",27857
27840,"Hamilton, North Carolina",27813
27555,"Micro, North Carolina",27679
28420,"Ash, North Carolina",27650
27869,"Rich Square, North Carolina",27647
28466,"Wallace, North Carolina",27624
28208,"Charlotte, North Carolina",27576
28616,"Crossnore, North Carolina",27500
28458,"Rose Hill, North Carolina",27386
28301,"Fayetteville, North Carolina",27371
27982,"Waves, North Carolina",27344
28901,"Andrews, North Carolina",27337
